brand,engine_type,ecu,price_credits,capabilities,source_file
КИТАЙ CHINA,Бензин,MG1UA008,1000,"Stage1, Euro-2, Euro-0, Misf, Evap, Stock",ffffff_price.html
КИТАЙ CHINA,Бензин,MG1US008,1000,"Stage1, Euro-2, Euro-0, Misf, Evap, Stock",ffffff_price.html
