software_id,stock_rel_path,stock_sha256,mod_rel_path,mod_sha256,size_delta_bytes,shared_ecu,shared_brand,mod_features
89663-F0N05,89663-F0N05_1ce7.bin,744fdd33faf2e912dab06b567a751f1385e4d0f014430348a51aacf93d8e3045,Toyota_Hilux_89663-F0N05_MOD_E2_iv_052f.bin,5bd39dc08c144dc82befe06b321155b930e0870c521e98ffa1ce70ed25c2471d,0,,,euro2|mod
89663-F0N05,89663-F0N05_1ce7.bin,744fdd33faf2e912dab06b567a751f1385e4d0f014430348a51aacf93d8e3045,Toyota_Hilux_89663-F0N05_MOD_E2_iv_7301.bin,5bd39dc08c144dc82befe06b321155b930e0870c521e98ffa1ce70ed25c2471d,0,,,euro2|mod
