family_key,software_id,ecu_primary,brands,files_total,unique_hashes,size_min_bytes,size_max_bytes,role_counts,feature_counts,has_stage1,has_euro2,readiness_score,readiness_status,next_action
SW:89663-F0N05,89663-F0N05,,TOYOTA,4,3,677008,1572864,"modified:2,stock_inferred:1,unknown:1","euro2:2,mod:2",false,true,95,ready_for_template,prepare_map-template-and-validation-checklist
SW:F01R00DU8DUP8,F01R00DU8DUP8,MG1US008,JAC,6,2,2621440,2621440,modified:6,"mod:6,rt47:6,stage1:6",true,false,75,ready_for_template,prepare_map-template-and-validation-checklist
